Date,Open,High,Low,Close,Adj Close,Volume
09-04-2020,8973.049805,9128.349609,8904.549805,9111.900391,9111.900391,742100
13-04-2020,9103.950195,9112.049805,8912.400391,8993.849609,8993.849609,644000
15-04-2020,9196.400391,9261.200195,8874.099609,8925.299805,8925.299805,879100
16-04-2020,8851.25,9053.75,8821.900391,8992.799805,8992.799805,719400
17-04-2020,9323.450195,9324,9091.349609,9266.75,9266.75,684200
20-04-2020,9390.200195,9390.849609,9230.799805,9261.849609,9261.849609,726400
21-04-2020,9016.950195,9044.400391,8909.400391,8981.450195,8981.450195,655100
22-04-2020,9026.75,9209.75,8946.25,9187.299805,9187.299805,734400
23-04-2020,9232.349609,9343.599609,9170.150391,9313.900391,9313.900391,666700
24-04-2020,9163.900391,9296.900391,9141.299805,9154.400391,9154.400391,659400
27-04-2020,9259.700195,9377.099609,9250.349609,9282.299805,9282.299805,512800
28-04-2020,9389.799805,9404.400391,9260,9380.900391,9380.900391,614500
29-04-2020,9408.599609,9599.849609,9392.349609,9553.349609,9553.349609,653000
30-04-2020,9753.5,9889.049805,9731.5,9859.900391,9859.900391,931200
04-05-2020,9533.5,9533.5,9266.950195,9293.5,9293.5,687500
05-05-2020,9429.400391,9450.900391,9190.75,9205.599609,9205.599609,725200
06-05-2020,9226.799805,9346.900391,9116.5,9270.900391,9270.900391,722200
07-05-2020,9234.049805,9277.849609,9175.900391,9199.049805,9199.049805,708700
08-05-2020,9376.950195,9382.650391,9238.200195,9251.5,9251.5,609100
11-05-2020,9348.150391,9439.900391,9219.950195,9239.200195,9239.200195,704600
12-05-2020,9168.849609,9240.849609,9043.950195,9196.549805,9196.549805,805500
13-05-2020,9584.200195,9584.5,9351.099609,9383.549805,9383.549805,846400
14-05-2020,9213.950195,9281.099609,9119.75,9142.75,9142.75,602600
15-05-2020,9182.400391,9182.400391,9050,9136.849609,9136.849609,575900
